2023-09-25 08:46:25,131 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 40,  41.630730807073064,  -71.00209196387308, Road CLOSED, }, Latitude= 41.630730807073064, Longitude= -71.00209196387308,  (at simulation time 11.000,000,000 s)
2023-09-25 08:46:25,131 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 41,  41.630730807073064,  -71.00209196387308, Road CLOSED, }, Latitude= 41.630730807073064, Longitude= -71.00209196387308,  (at simulation time 11.100,000,000 s)
2023-09-25 08:46:25,132 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 42,  41.630730807073064,  -71.00209196387308, Road CLOSED, }, Latitude= 41.630730807073064, Longitude= -71.00209196387308,  (at simulation time 11.200,000,000 s)
2023-09-25 08:46:25,132 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 43,  41.630730807073064,  -71.00209196387308, Road CLOSED, }, Latitude= 41.630730807073064, Longitude= -71.00209196387308,  (at simulation time 11.300,000,000 s)
2023-09-25 08:46:25,132 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 44,  41.630730807073064,  -71.00209196387308, Road CLOSED, }, Latitude= 41.630730807073064, Longitude= -71.00209196387308,  (at simulation time 11.400,000,000 s)
2023-09-25 08:46:25,132 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 45,  41.630730807073064,  -71.00209196387308, Road CLOSED, }, Latitude= 41.630730807073064, Longitude= -71.00209196387308,  (at simulation time 11.500,000,000 s)
2023-09-25 08:46:25,132 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 46,  41.630730807073064,  -71.00209196387308, Road CLOSED, }, Latitude= 41.630730807073064, Longitude= -71.00209196387308,  (at simulation time 11.600,000,000 s)
2023-09-25 08:46:25,133 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 47,  41.630730807073064,  -71.00209196387308, Road CLOSED, }, Latitude= 41.630730807073064, Longitude= -71.00209196387308,  (at simulation time 11.700,000,000 s)
2023-09-25 08:46:25,133 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 48,  41.630730807073064,  -71.00209196387308, Road CLOSED, }, Latitude= 41.630730807073064, Longitude= -71.00209196387308,  (at simulation time 11.800,000,000 s)
2023-09-25 08:46:25,133 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 49,  41.630730807073064,  -71.00209196387308, Road CLOSED, }, Latitude= 41.630730807073064, Longitude= -71.00209196387308,  (at simulation time 11.900,000,000 s)
2023-09-25 08:46:25,135 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 50,  41.63078756515844,  -71.00211999847372, Road CLOSED, }, Latitude= 41.63078756515844, Longitude= -71.00211999847372,  (at simulation time 12.000,000,000 s)
2023-09-25 08:46:25,136 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 51,  41.63078756515844,  -71.00211999847372, Road CLOSED, }, Latitude= 41.63078756515844, Longitude= -71.00211999847372,  (at simulation time 12.100,000,000 s)
2023-09-25 08:46:25,136 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 52,  41.63078756515844,  -71.00211999847372, Road CLOSED, }, Latitude= 41.63078756515844, Longitude= -71.00211999847372,  (at simulation time 12.200,000,000 s)
