2023-05-03 21:46:06,723 INFO  - Initialize application (at simulation time 0.000,000,000 s)
2023-05-03 21:46:06,726 INFO  - Activated Cellular Module (at simulation time 0.000,000,000 s)
2023-05-03 21:46:07,902 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=2733,  Latitude=41.6250091971648, Longitude= -71.0054768189785, Road CLOSED, } (at simulation time 280.301,400,000 s)
2023-05-03 21:46:07,902 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=2734,  Latitude=41.6250091971648, Longitude= -71.0054768189785, Road CLOSED, } (at simulation time 280.400,900,000 s)
2023-05-03 21:46:07,902 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=2735,  Latitude=41.6250091971648, Longitude= -71.0054768189785, Road CLOSED, } (at simulation time 280.500,400,000 s)
2023-05-03 21:46:07,902 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=2736,  Latitude=41.6250091971648, Longitude= -71.0054768189785, Road CLOSED, } (at simulation time 280.602,400,000 s)
2023-05-03 21:46:07,902 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=2737,  Latitude=41.6250091971648, Longitude= -71.0054768189785, Road CLOSED, } (at simulation time 280.701,400,000 s)
2023-05-03 21:46:07,902 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=2738,  Latitude=41.6250091971648, Longitude= -71.0054768189785, Road CLOSED, } (at simulation time 280.801,900,000 s)
2023-05-03 21:46:07,902 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=2739,  Latitude=41.6250091971648, Longitude= -71.0054768189785, Road CLOSED, } (at simulation time 280.901,900,000 s)
2023-05-03 21:46:07,902 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=2740,  Latitude=41.6249950846509, Longitude= -71.00555351947348, Road CLOSED, } (at simulation time 281.001,400,000 s)
2023-05-03 21:46:07,902 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=2741,  Latitude=41.6249950846509, Longitude= -71.00555351947348, Road CLOSED, } (at simulation time 281.101,400,000 s)
2023-05-03 21:46:07,902 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=2742,  Latitude=41.6249950846509, Longitude= -71.00555351947348, Road CLOSED, } (at simulation time 281.201,400,000 s)
2023-05-03 21:46:07,902 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=2743,  Latitude=41.6249950846509, Longitude= -71.00555351947348, Road CLOSED, } (at simulation time 281.302,400,000 s)
2023-05-03 21:46:07,902 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=2744,  Latitude=41.6249950846509, Longitude= -71.00555351947348, Road CLOSED, } (at simulation time 281.401,400,000 s)
2023-05-03 21:46:07,902 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=2745,  Latitude=41.6249950846509, Longitude= -71.00555351947348, Road CLOSED, } (at simulation time 281.501,900,000 s)
2023-05-03 21:46:07,902 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=2746,  Latitude=41.6249950846509, Longitude= -71.00555351947348, Road CLOSED, } (at simulation time 281.601,400,000 s)
2023-05-03 21:46:07,902 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=2747,  Latitude=41.6249950846509, Longitude= -71.00555351947348, Road CLOSED, } (at simulation time 281.700,400,000 s)
2023-05-03 21:46:07,902 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=2748,  Latitude=41.6249950846509, Longitude= -71.00555351947348, Road CLOSED, } (at simulation time 281.801,400,000 s)
2023-05-03 21:46:07,902 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=2749,  Latitude=41.6249950846509, Longitude= -71.00555351947348, Road CLOSED, } (at simulation time 281.900,400,000 s)
2023-05-03 21:46:07,903 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=2750,  Latitude=41.62498310700974, Longitude= -71.00562403777732, Road CLOSED, } (at simulation time 282.000,900,000 s)
2023-05-03 21:46:07,903 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=2751,  Latitude=41.62498310700974, Longitude= -71.00562403777732, Road CLOSED, } (at simulation time 282.100,900,000 s)
2023-05-03 21:46:07,903 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=2752,  Latitude=41.62498310700974, Longitude= -71.00562403777732, Road CLOSED, } (at simulation time 282.201,900,000 s)
2023-05-03 21:46:07,903 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=2753,  Latitude=41.62498310700974, Longitude= -71.00562403777732, Road CLOSED, } (at simulation time 282.300,900,000 s)
2023-05-03 21:46:07,903 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=2754,  Latitude=41.62498310700974, Longitude= -71.00562403777732, Road CLOSED, } (at simulation time 282.401,900,000 s)
2023-05-03 21:46:07,903 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=2755,  Latitude=41.62498310700974, Longitude= -71.00562403777732, Road CLOSED, } (at simulation time 282.502,400,000 s)
2023-05-03 21:46:07,903 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=2756,  Latitude=41.62498310700974, Longitude= -71.00562403777732, Road CLOSED, } (at simulation time 282.602,400,000 s)
2023-05-03 21:46:07,903 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=2757,  Latitude=41.62498310700974, Longitude= -71.00562403777732, Road CLOSED, } (at simulation time 282.701,900,000 s)
