2023-09-25 08:47:01,063 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=23,  Latitude=41.63061937632063, Longitude= -71.00203898518708, Road CLOSED, }, Latitude= 41.63061937632063, Longitude= -71.00203898518708,  (at simulation time 9.300,000,000 s)
2023-09-25 08:47:01,064 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,Msg Id=28, SeqNum=13,  Latitude=41.62984225180874, Longitude= -71.00160289947058, Road CLOSED, }, Latitude= 41.63061937632063, Longitude= -71.00203898518708,  (at simulation time 9.301,800,000 s)
2023-09-25 08:47:01,064 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=24,  Latitude=41.63061937632063, Longitude= -71.00203898518708, Road CLOSED, }, Latitude= 41.63061937632063, Longitude= -71.00203898518708,  (at simulation time 9.400,000,000 s)
2023-09-25 08:47:01,064 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,Msg Id=28, SeqNum=14,  Latitude=41.62984225180874, Longitude= -71.00160289947058, Road CLOSED, }, Latitude= 41.63061937632063, Longitude= -71.00203898518708,  (at simulation time 9.401,800,000 s)
2023-09-25 08:47:01,064 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=25,  Latitude=41.63061937632063, Longitude= -71.00203898518708, Road CLOSED, }, Latitude= 41.63061937632063, Longitude= -71.00203898518708,  (at simulation time 9.500,000,000 s)
2023-09-25 08:47:01,065 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,Msg Id=28, SeqNum=15,  Latitude=41.62984225180874, Longitude= -71.00160289947058, Road CLOSED, }, Latitude= 41.63061937632063, Longitude= -71.00203898518708,  (at simulation time 9.504,300,000 s)
2023-09-25 08:47:01,065 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=26,  Latitude=41.63061937632063, Longitude= -71.00203898518708, Road CLOSED, }, Latitude= 41.63061937632063, Longitude= -71.00203898518708,  (at simulation time 9.600,000,000 s)
2023-09-25 08:47:01,065 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,Msg Id=28, SeqNum=16,  Latitude=41.62984225180874, Longitude= -71.00160289947058, Road CLOSED, }, Latitude= 41.63061937632063, Longitude= -71.00203898518708,  (at simulation time 9.603,300,000 s)
2023-09-25 08:47:01,066 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=27,  Latitude=41.63061937632063, Longitude= -71.00203898518708, Road CLOSED, }, Latitude= 41.63061937632063, Longitude= -71.00203898518708,  (at simulation time 9.700,000,000 s)
2023-09-25 08:47:01,066 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,Msg Id=28, SeqNum=17,  Latitude=41.62984225180874, Longitude= -71.00160289947058, Road CLOSED, }, Latitude= 41.63061937632063, Longitude= -71.00203898518708,  (at simulation time 9.702,800,000 s)
2023-09-25 08:47:01,066 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=28,  Latitude=41.63061937632063, Longitude= -71.00203898518708, Road CLOSED, }, Latitude= 41.63061937632063, Longitude= -71.00203898518708,  (at simulation time 9.800,000,000 s)
2023-09-25 08:47:01,067 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,Msg Id=28, SeqNum=18,  Latitude=41.62984225180874, Longitude= -71.00160289947058, Road CLOSED, }, Latitude= 41.63061937632063, Longitude= -71.00203898518708,  (at simulation time 9.804,300,000 s)
2023-09-25 08:47:01,067 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=29,  Latitude=41.63061937632063, Longitude= -71.00203898518708, Road CLOSED, }, Latitude= 41.63061937632063, Longitude= -71.00203898518708,  (at simulation time 9.900,000,000 s)
2023-09-25 08:47:01,068 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,Msg Id=28, SeqNum=19,  Latitude=41.62984225180874, Longitude= -71.00160289947058, Road CLOSED, }, Latitude= 41.63061937632063, Longitude= -71.00203898518708,  (at simulation time 9.902,800,000 s)
2023-09-25 08:47:01,071 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=30,  Latitude=41.6306721855144, Longitude= -71.00206300890233, Road CLOSED, }, Latitude= 41.6306721855144, Longitude= -71.00206300890233,  (at simulation time 10.000,000,000 s)
2023-09-25 08:47:01,072 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,Msg Id=28, SeqNum=20,  Latitude=41.62984225180874, Longitude= -71.00160289947058, Road CLOSED, }, Latitude= 41.6306721855144, Longitude= -71.00206300890233,  (at simulation time 10.002,800,000 s)
2023-09-25 08:47:01,072 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=31,  Latitude=41.6306721855144, Longitude= -71.00206300890233, Road CLOSED, }, Latitude= 41.6306721855144, Longitude= -71.00206300890233,  (at simulation time 10.100,000,000 s)
2023-09-25 08:47:01,073 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,Msg Id=28, SeqNum=21,  Latitude=41.62984225180874, Longitude= -71.00160289947058, Road CLOSED, }, Latitude= 41.6306721855144, Longitude= -71.00206300890233,  (at simulation time 10.101,800,000 s)
2023-09-25 08:47:01,073 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=32,  Latitude=41.6306721855144, Longitude= -71.00206300890233, Road CLOSED, }, Latitude= 41.6306721855144, Longitude= -71.00206300890233,  (at simulation time 10.200,000,000 s)
2023-09-25 08:47:01,073 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,Msg Id=28, SeqNum=22,  Latitude=41.62984225180874, Longitude= -71.00160289947058, Road CLOSED, }, Latitude= 41.6306721855144, Longitude= -71.00206300890233,  (at simulation time 10.202,800,000 s)
2023-09-25 08:47:01,073 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=33,  Latitude=41.6306721855144, Longitude= -71.00206300890233, Road CLOSED, }, Latitude= 41.6306721855144, Longitude= -71.00206300890233,  (at simulation time 10.300,000,000 s)
2023-09-25 08:47:01,074 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,Msg Id=28, SeqNum=23,  Latitude=41.62984225180874, Longitude= -71.00160289947058, Road CLOSED, }, Latitude= 41.6306721855144, Longitude= -71.00206300890233,  (at simulation time 10.302,800,000 s)
2023-09-25 08:47:01,074 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=34,  Latitude=41.6306721855144, Longitude= -71.00206300890233, Road CLOSED, }, Latitude= 41.6306721855144, Longitude= -71.00206300890233,  (at simulation time 10.400,000,000 s)
2023-09-25 08:47:01,074 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,Msg Id=28, SeqNum=24,  Latitude=41.62984225180874, Longitude= -71.00160289947058, Road CLOSED, }, Latitude= 41.6306721855144, Longitude= -71.00206300890233,  (at simulation time 10.401,800,000 s)
2023-09-25 08:47:01,075 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=35,  Latitude=41.6306721855144, Longitude= -71.00206300890233, Road CLOSED, }, Latitude= 41.6306721855144, Longitude= -71.00206300890233,  (at simulation time 10.500,000,000 s)
2023-09-25 08:47:01,075 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,Msg Id=28, SeqNum=25,  Latitude=41.62984225180874, Longitude= -71.00160289947058, Road CLOSED, }, Latitude= 41.6306721855144, Longitude= -71.00206300890233,  (at simulation time 10.503,300,000 s)
2023-09-25 08:47:01,075 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=36,  Latitude=41.6306721855144, Longitude= -71.00206300890233, Road CLOSED, }, Latitude= 41.6306721855144, Longitude= -71.00206300890233,  (at simulation time 10.600,000,000 s)
2023-09-25 08:47:01,076 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,Msg Id=28, SeqNum=26,  Latitude=41.62984225180874, Longitude= -71.00160289947058, Road CLOSED, }, Latitude= 41.6306721855144, Longitude= -71.00206300890233,  (at simulation time 10.602,800,000 s)
2023-09-25 08:47:01,076 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=37,  Latitude=41.6306721855144, Longitude= -71.00206300890233, Road CLOSED, }, Latitude= 41.6306721855144, Longitude= -71.00206300890233,  (at simulation time 10.700,000,000 s)
2023-09-25 08:47:01,076 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,Msg Id=28, SeqNum=27,  Latitude=41.62984225180874, Longitude= -71.00160289947058, Road CLOSED, }, Latitude= 41.6306721855144, Longitude= -71.00206300890233,  (at simulation time 10.702,300,000 s)
2023-09-25 08:47:01,076 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=38,  Latitude=41.6306721855144, Longitude= -71.00206300890233, Road CLOSED, }, Latitude= 41.6306721855144, Longitude= -71.00206300890233,  (at simulation time 10.800,000,000 s)
2023-09-25 08:47:01,076 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,Msg Id=28, SeqNum=28,  Latitude=41.62984225180874, Longitude= -71.00160289947058, Road CLOSED, }, Latitude= 41.6306721855144, Longitude= -71.00206300890233,  (at simulation time 10.801,800,000 s)
