2023-09-25 08:46:32,649 INFO  - ,Broadcasting V2X Message ,rsu_2, InterVehicleMsg{,30, 357,  41.632382935740885,  -71.0077086334615, Road CLOSED, } (at simulation time 50.700,400,000 s)
2023-09-25 08:46:32,649 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 438,  41.63230717136237,  -71.00428834961137, Road CLOSED, } (at simulation time 50.801,900,000 s)
2023-09-25 08:46:32,649 INFO  - ,Broadcasting V2X Message ,rsu_2, InterVehicleMsg{,30, 358,  41.632382935740885,  -71.0077086334615, Road CLOSED, } (at simulation time 50.801,900,000 s)
2023-09-25 08:46:32,649 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 439,  41.63230717136237,  -71.00428834961137, Road CLOSED, } (at simulation time 50.901,900,000 s)
2023-09-25 08:46:32,649 INFO  - ,Broadcasting V2X Message ,rsu_2, InterVehicleMsg{,30, 359,  41.632382935740885,  -71.0077086334615, Road CLOSED, } (at simulation time 50.901,900,000 s)
2023-09-25 08:46:32,650 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 440,  41.632321595190916,  -71.00435619358547, Road CLOSED, } (at simulation time 51.001,400,000 s)
2023-09-25 08:46:32,650 INFO  - ,Broadcasting V2X Message ,rsu_2, InterVehicleMsg{,30, 360,  41.632382935740885,  -71.0077086334615, Road CLOSED, } (at simulation time 51.001,400,000 s)
2023-09-25 08:46:32,650 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 441,  41.632321595190916,  -71.00435619358547, Road CLOSED, } (at simulation time 51.100,400,000 s)
2023-09-25 08:46:32,650 INFO  - ,Broadcasting V2X Message ,rsu_2, InterVehicleMsg{,30, 361,  41.632382935740885,  -71.0077086334615, Road CLOSED, } (at simulation time 51.100,400,000 s)
2023-09-25 08:46:32,650 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 442,  41.632321595190916,  -71.00435619358547, Road CLOSED, } (at simulation time 51.201,400,000 s)
2023-09-25 08:46:32,650 INFO  - ,Broadcasting V2X Message ,rsu_2, InterVehicleMsg{,30, 362,  41.632382935740885,  -71.0077086334615, Road CLOSED, } (at simulation time 51.201,400,000 s)
2023-09-25 08:46:32,651 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 443,  41.632321595190916,  -71.00435619358547, Road CLOSED, } (at simulation time 51.302,400,000 s)
2023-09-25 08:46:32,651 INFO  - ,Broadcasting V2X Message ,rsu_2, InterVehicleMsg{,30, 363,  41.632382935740885,  -71.0077086334615, Road CLOSED, } (at simulation time 51.302,400,000 s)
2023-09-25 08:46:32,651 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 444,  41.632321595190916,  -71.00435619358547, Road CLOSED, } (at simulation time 51.402,400,000 s)
2023-09-25 08:46:32,651 INFO  - ,Broadcasting V2X Message ,rsu_2, InterVehicleMsg{,30, 364,  41.632382935740885,  -71.0077086334615, Road CLOSED, } (at simulation time 51.402,400,000 s)
2023-09-25 08:46:32,651 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 445,  41.632321595190916,  -71.00435619358547, Road CLOSED, } (at simulation time 51.501,400,000 s)
2023-09-25 08:46:32,651 INFO  - ,Broadcasting V2X Message ,rsu_2, InterVehicleMsg{,30, 365,  41.632382935740885,  -71.0077086334615, Road CLOSED, } (at simulation time 51.501,400,000 s)
2023-09-25 08:46:32,651 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 446,  41.632321595190916,  -71.00435619358547, Road CLOSED, } (at simulation time 51.600,400,000 s)
2023-09-25 08:46:32,651 INFO  - ,Broadcasting V2X Message ,rsu_2, InterVehicleMsg{,30, 366,  41.632382935740885,  -71.0077086334615, Road CLOSED, } (at simulation time 51.600,400,000 s)
2023-09-25 08:46:32,651 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 447,  41.632321595190916,  -71.00435619358547, Road CLOSED, } (at simulation time 51.700,900,000 s)
2023-09-25 08:46:32,651 INFO  - ,Broadcasting V2X Message ,rsu_2, InterVehicleMsg{,30, 367,  41.632382935740885,  -71.0077086334615, Road CLOSED, } (at simulation time 51.700,900,000 s)
2023-09-25 08:46:32,651 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 448,  41.632321595190916,  -71.00435619358547, Road CLOSED, } (at simulation time 51.801,900,000 s)
2023-09-25 08:46:32,651 INFO  - ,Broadcasting V2X Message ,rsu_2, InterVehicleMsg{,30, 368,  41.632382935740885,  -71.0077086334615, Road CLOSED, } (at simulation time 51.801,900,000 s)
2023-09-25 08:46:32,651 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 449,  41.632321595190916,  -71.00435619358547, Road CLOSED, } (at simulation time 51.901,900,000 s)
2023-09-25 08:46:32,651 INFO  - ,Broadcasting V2X Message ,rsu_2, InterVehicleMsg{,30, 369,  41.632382935740885,  -71.0077086334615, Road CLOSED, } (at simulation time 51.901,900,000 s)
2023-09-25 08:46:32,652 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 450,  41.6323371773873,  -71.0044351146254, Road CLOSED, } (at simulation time 52.001,400,000 s)
2023-09-25 08:46:32,653 INFO  - ,Broadcasting V2X Message ,rsu_2, InterVehicleMsg{,30, 370,  41.632382935740885,  -71.0077086334615, Road CLOSED, } (at simulation time 52.001,400,000 s)
2023-09-25 08:46:32,653 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 451,  41.6323371773873,  -71.0044351146254, Road CLOSED, } (at simulation time 52.101,900,000 s)
