2023-05-03 21:45:51,892 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=36,  Latitude=41.6306721855144, Longitude= -71.00206300890233, Road CLOSED, } (at simulation time 10.600,000,000 s)
2023-05-03 21:45:51,892 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=37,  Latitude=41.6306721855144, Longitude= -71.00206300890233, Road CLOSED, } (at simulation time 10.700,000,000 s)
2023-05-03 21:45:51,892 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=38,  Latitude=41.6306721855144, Longitude= -71.00206300890233, Road CLOSED, } (at simulation time 10.800,000,000 s)
2023-05-03 21:45:51,892 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=39,  Latitude=41.6306721855144, Longitude= -71.00206300890233, Road CLOSED, } (at simulation time 10.900,000,000 s)
2023-05-03 21:45:51,894 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=40,  Latitude=41.630730807073064, Longitude= -71.00209196387308, Road CLOSED, } (at simulation time 11.000,000,000 s)
2023-05-03 21:45:51,894 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=41,  Latitude=41.630730807073064, Longitude= -71.00209196387308, Road CLOSED, } (at simulation time 11.100,000,000 s)
2023-05-03 21:45:51,894 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=42,  Latitude=41.630730807073064, Longitude= -71.00209196387308, Road CLOSED, } (at simulation time 11.200,000,000 s)
2023-05-03 21:45:51,894 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=43,  Latitude=41.630730807073064, Longitude= -71.00209196387308, Road CLOSED, } (at simulation time 11.300,000,000 s)
2023-05-03 21:45:51,895 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=44,  Latitude=41.630730807073064, Longitude= -71.00209196387308, Road CLOSED, } (at simulation time 11.400,000,000 s)
2023-05-03 21:45:51,895 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=45,  Latitude=41.630730807073064, Longitude= -71.00209196387308, Road CLOSED, } (at simulation time 11.500,000,000 s)
2023-05-03 21:45:51,895 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=46,  Latitude=41.630730807073064, Longitude= -71.00209196387308, Road CLOSED, } (at simulation time 11.600,000,000 s)
2023-05-03 21:45:51,895 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=47,  Latitude=41.630730807073064, Longitude= -71.00209196387308, Road CLOSED, } (at simulation time 11.700,000,000 s)
2023-05-03 21:45:51,895 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=48,  Latitude=41.630730807073064, Longitude= -71.00209196387308, Road CLOSED, } (at simulation time 11.800,000,000 s)
2023-05-03 21:45:51,896 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=49,  Latitude=41.630730807073064, Longitude= -71.00209196387308, Road CLOSED, } (at simulation time 11.900,000,000 s)
2023-05-03 21:45:51,898 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=50,  Latitude=41.63078756515844, Longitude= -71.00211999847372, Road CLOSED, } (at simulation time 12.000,000,000 s)
2023-05-03 21:45:51,898 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=51,  Latitude=41.63078756515844, Longitude= -71.00211999847372, Road CLOSED, } (at simulation time 12.100,000,000 s)
2023-05-03 21:45:51,898 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=52,  Latitude=41.63078756515844, Longitude= -71.00211999847372, Road CLOSED, } (at simulation time 12.200,000,000 s)
2023-05-03 21:45:51,898 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=53,  Latitude=41.63078756515844, Longitude= -71.00211999847372, Road CLOSED, } (at simulation time 12.300,000,000 s)
2023-05-03 21:45:51,899 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=54,  Latitude=41.63078756515844, Longitude= -71.00211999847372, Road CLOSED, } (at simulation time 12.400,000,000 s)
2023-05-03 21:45:51,899 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=55,  Latitude=41.63078756515844, Longitude= -71.00211999847372, Road CLOSED, } (at simulation time 12.500,000,000 s)
